replication_lag_mb,transactions_per_sec,cpu_percent,latency_ms,trans_rolled_back,deadlocks,hour_of_day,memory_usage_pct,connections_active,wal_buffers_full,system,mode
11.11,727.31,54.07,107.34,27.34,1,15,63.21,37,12.13,mysql,CONSISTENCY
69.87,1038.8,78.74,39.98,0.01,2,6,77.74,114,16.01,mysql,CONSISTENCY
18.59,307.75,35.0,134.66,4.4,2,19,61.64,28,27.08,mysql,PERFORMANCE
67.56,1816.79,94.19,27.07,23.01,6,16,71.53,143,29.53,mysql,CONSISTENCY
13.93,592.89,47.6,118.68,39.82,1,8,64.92,67,16.13,mysql,CONSISTENCY
42.98,1150.61,93.65,81.45,52.7,2,10,85.91,180,14.61,mysql,CONSISTENCY
73.27,1272.79,84.27,46.14,0.91,7,2,87.99,157,13.8,mysql,CONSISTENCY
0.34,69.65,22.02,95.36,25.95,0,4,23.87,3,10.95,mysql,ECONOMIC
58.24,1182.63,86.48,75.21,25.97,2,20,70.18,163,22.95,mysql,CONSISTENCY
9.99,627.0,48.56,49.89,2.59,0,18,63.08,47,13.57,mysql,CONSISTENCY
187.87,421.83,65.92,75.48,18.76,8,4,94.96,153,5.74,mysql,CONSISTENCY
21.89,740.74,42.48,121.63,54.49,1,8,57.21,40,15.51,mysql,CONSISTENCY
23.41,650.51,33.4,15.12,45.94,1,8,61.99,77,2.47,mysql,CONSISTENCY
163.84,541.33,71.52,111.76,59.05,19,17,75.1,136,5.92,mysql,CONSISTENCY
22.78,1471.66,86.43,49.4,4.63,8,2,85.08,105,15.17,mysql,CONSISTENCY
8.84,781.18,56.71,110.83,34.86,2,18,47.96,25,9.43,mysql,CONSISTENCY
23.12,1699.31,89.22,133.59,28.98,7,17,85.12,157,7.25,mysql,CONSISTENCY
195.81,578.2,62.52,118.11,24.57,5,18,79.21,108,7.01,mysql,CONSISTENCY
12.02,761.11,47.78,30.58,30.3,1,3,62.86,46,14.59,mysql,CONSISTENCY
141.21,531.52,65.61,137.69,4.96,6,6,82.38,169,26.25,mysql,CONSISTENCY
12.11,426.38,42.2,118.34,51.26,1,18,44.27,67,2.14,mysql,PERFORMANCE
16.91,350.58,30.34,129.48,15.31,0,10,43.29,64,29.04,mysql,PERFORMANCE
1.27,773.71,42.7,105.9,8.57,1,9,53.6,50,11.04,mysql,CONSISTENCY
74.33,1434.05,91.39,130.1,40.11,3,13,83.91,136,1.41,mysql,CONSISTENCY
119.18,826.7,82.86,109.45,2.63,13,0,82.9,160,1.52,mysql,CONSISTENCY
4.09,98.87,26.34,69.62,26.88,0,4,38.62,5,1.46,mysql,ECONOMIC
1.86,361.64,34.42,100.56,59.56,0,4,47.54,79,22.91,mysql,PERFORMANCE
15.62,611.27,36.23,84.37,57.71,0,12,63.71,20,10.23,mysql,CONSISTENCY
29.51,1160.71,94.57,44.83,25.82,6,0,89.32,172,3.87,mysql,CONSISTENCY
62.83,1071.98,80.13,43.28,46.24,2,16,70.62,145,13.26,mysql,CONSISTENCY
19.99,794.67,31.18,35.14,24.16,0,19,46.15,36,18.23,mysql,CONSISTENCY
6.49,407.28,52.14,38.94,21.14,0,18,44.71,54,15.55,mysql,CONSISTENCY
