replication_lag_mb,transactions_per_sec,cpu_percent,latency_ms,trans_rolled_back,deadlocks,hour_of_day,memory_usage_pct,connections_active,wal_buffers_full,system,mode
5.97,77.52,25.59,99.38,11.43,0,5,22.5,11,16.69,postgresql,ECONOMIC
54.55,349.73,56.37,11.77,31.99,5,20,75.29,88,26.24,postgresql,AVAILABILITY
12.09,345.3,48.55,6.92,36.04,0,15,41.16,70,34.02,postgresql,PERFORMANCE
165.27,552.31,62.44,42.52,72.75,10,13,87.2,87,1.72,postgresql,CONSISTENCY
5.68,113.77,14.16,110.45,74.13,0,23,41.06,12,19.76,postgresql,ECONOMIC
10.43,397.99,31.36,83.69,22.47,1,14,53.49,43,17.84,postgresql,PERFORMANCE
13.28,382.63,30.47,92.86,63.21,2,8,60.39,36,35.57,postgresql,PERFORMANCE
19.08,357.93,55.89,44.83,47.3,2,9,47.77,43,33.3,postgresql,CONSISTENCY
65.65,1119.59,89.26,8.69,34.2,8,2,75.12,126,26.14,postgresql,CONSISTENCY
17.33,747.88,44.26,141.71,16.24,0,12,46.23,64,26.99,postgresql,CONSISTENCY
24.44,380.61,57.89,83.2,71.4,1,6,51.41,63,9.33,postgresql,CONSISTENCY
115.07,559.0,62.75,65.52,40.86,7,22,82.05,82,0.35,postgresql,CONSISTENCY
30.1,1269.41,79.88,41.51,77.0,9,4,84.06,161,48.59,postgresql,CONSISTENCY
2.67,72.21,29.95,26.01,19.16,0,5,30.28,5,45.41,postgresql,ECONOMIC
3.34,576.45,47.78,62.83,78.67,0,11,58.21,43,23.52,postgresql,CONSISTENCY
6.96,72.61,20.16,55.56,64.76,0,0,28.15,4,35.56,postgresql,ECONOMIC
28.17,645.47,41.6,38.14,55.66,0,6,42.84,42,27.07,postgresql,CONSISTENCY
116.6,677.6,73.24,55.64,27.12,15,15,86.17,111,31.66,postgresql,CONSISTENCY
187.65,828.16,70.11,58.98,46.45,4,15,78.23,117,33.45,postgresql,CONSISTENCY
78.85,185.18,59.16,30.93,39.51,6,2,65.61,72,0.9,postgresql,CONSISTENCY
54.1,1849.22,88.15,62.0,77.84,4,23,82.73,121,12.2,postgresql,CONSISTENCY
160.96,617.2,68.75,116.44,45.76,4,21,78.9,140,24.96,postgresql,CONSISTENCY
110.68,240.98,58.39,128.69,77.09,6,16,83.21,85,48.33,postgresql,CONSISTENCY
11.81,434.24,44.56,102.32,16.71,1,20,57.4,59,3.52,postgresql,PERFORMANCE
22.48,559.16,56.32,122.47,64.75,2,22,57.72,58,14.68,postgresql,CONSISTENCY
177.81,655.67,72.54,59.46,27.04,19,23,82.94,93,44.5,postgresql,CONSISTENCY
5.5,636.01,39.84,48.97,3.11,1,1,54.77,41,12.51,postgresql,CONSISTENCY
7.26,561.12,53.1,25.06,55.96,1,10,41.29,71,20.57,postgresql,CONSISTENCY
103.61,254.89,59.69,64.3,55.68,5,15,78.6,101,41.8,postgresql,CONSISTENCY
6.3,419.89,32.82,110.86,34.85,0,0,63.87,58,32.86,postgresql,PERFORMANCE
1.42,477.99,52.74,73.76,56.29,0,2,42.35,49,42.77,postgresql,CONSISTENCY
161.48,573.15,71.62,140.35,1.22,9,15,87.7,113,13.04,postgresql,CONSISTENCY
76.63,1683.96,87.32,88.14,54.17,5,0,81.72,190,40.05,postgresql,CONSISTENCY
43.17,1545.62,93.83,7.64,8.06,3,0,74.13,128,3.47,postgresql,CONSISTENCY
43.12,1336.55,88.11,96.2,55.74,7,18,86.29,106,5.91,postgresql,CONSISTENCY
1.77,170.52,15.64,117.58,29.76,0,0,40.17,17,20.63,postgresql,ECONOMIC
164.78,680.93,65.96,61.49,39.72,6,23,77.06,96,26.72,postgresql,CONSISTENCY
189.59,594.6,60.27,96.62,45.88,10,12,94.14,174,47.53,postgresql,CONSISTENCY
7.17,601.22,46.61,84.68,4.6,0,20,42.84,72,24.72,postgresql,CONSISTENCY
9.69,131.89,24.12,37.27,34.09,0,2,40.92,17,41.92,postgresql,ECONOMIC
99.33,753.12,62.03,147.97,75.78,19,8,92.26,165,40.64,postgresql,CONSISTENCY
11.96,654.09,44.45,63.75,20.29,1,3,62.66,58,21.72,postgresql,CONSISTENCY
22.64,358.76,49.48,37.42,69.49,1,19,50.01,79,14.29,postgresql,CONSISTENCY
