test,former_primary,new_primary,promotion_time_s,rto_s,timestamp
1,mongodb-0,mongodb-1,33.97,14.31,2026-04-13T22:18:28.792304
2,mongodb-1,mongodb-0,32.1,4.78,2026-04-13T22:20:17.309446
3,mongodb-0,mongodb-1,31.9,0.71,2026-04-13T22:22:01.464154
4,mongodb-1,mongodb-0,32.13,0.65,2026-04-13T22:23:45.914802
5,mongodb-0,mongodb-1,31.8,0.71,2026-04-13T22:25:30.015753
6,mongodb-1,mongodb-0,31.49,19.36,2026-04-13T22:27:33.145080
7,mongodb-0,mongodb-1,32.36,18.84,2026-04-13T22:29:36.777000
8,mongodb-1,mongodb-0,31.59,4.39,2026-04-13T22:31:24.161072
9,mongodb-0,mongodb-1,33.59,13.94,2026-04-13T22:33:23.057121
10,mongodb-1,mongodb-0,31.47,4.46,2026-04-13T22:35:10.421371
11,mongodb-0,mongodb-1,32.85,18.29,2026-04-13T22:37:12.987231
12,mongodb-1,mongodb-0,31.83,16.45,2026-04-13T22:39:13.031989
13,mongodb-0,mongodb-1,32.07,0.68,2026-04-13T22:40:57.369038
14,mongodb-1,mongodb-0,31.68,4.4,2026-04-13T22:42:44.790460
15,mongodb-0,mongodb-1,32.13,0.73,2026-04-13T22:44:29.024937
16,mongodb-1,mongodb-0,31.46,0.68,2026-04-13T22:46:12.537270
17,mongodb-0,mongodb-1,33.72,5.06,2026-04-13T22:48:02.763672
18,mongodb-1,mongodb-0,31.29,0.66,2026-04-13T22:49:46.117100
19,mongodb-0,mongodb-1,32.09,0.66,2026-04-13T22:51:30.205713
20,mongodb-1,mongodb-0,32.92,0.69,2026-04-13T22:53:15.296764
21,mongodb-0,mongodb-1,31.51,0.66,2026-04-13T22:54:59.848812
22,mongodb-1,mongodb-0,31.31,4.36,2026-04-13T22:56:47.049788
23,mongodb-0,mongodb-1,32.14,13.9,2026-04-13T22:58:44.426335
24,mongodb-1,mongodb-0,31.57,19.21,2026-04-13T23:00:46.575407
25,mongodb-0,mongodb-1,32.2,5.06,2026-04-13T23:02:35.208369
26,mongodb-1,mongodb-0,31.64,8.12,2026-04-13T23:04:26.533429
27,mongodb-0,mongodb-1,32.94,14.62,2026-04-13T23:06:25.484334
28,mongodb-1,mongodb-0,33.0,4.45,2026-04-13T23:08:14.360727
29,mongodb-0,mongodb-1,33.69,14.9,2026-04-13T23:10:14.485630
30,mongodb-1,mongodb-0,32.94,19.39,2026-04-13T23:12:18.874284
