test,former_primary,new_primary,promotion_time_s,rto_s,timestamp
1,mongodb-0,mongodb-1,33.97,14.31,2026-04-13T22:18:28.792304
2,mongodb-1,mongodb-0,32.1,4.78,2026-04-13T22:20:17.309446
6,mongodb-1,mongodb-0,31.49,19.36,2026-04-13T22:27:33.145080
7,mongodb-0,mongodb-1,32.36,18.84,2026-04-13T22:29:36.777000
8,mongodb-1,mongodb-0,31.59,4.39,2026-04-13T22:31:24.161072
9,mongodb-0,mongodb-1,33.59,13.94,2026-04-13T22:33:23.057121
10,mongodb-1,mongodb-0,31.47,4.46,2026-04-13T22:35:10.421371
11,mongodb-0,mongodb-1,32.85,18.29,2026-04-13T22:37:12.987231
12,mongodb-1,mongodb-0,31.83,16.45,2026-04-13T22:39:13.031989
14,mongodb-1,mongodb-0,31.68,4.4,2026-04-13T22:42:44.790460
17,mongodb-0,mongodb-1,33.72,5.06,2026-04-13T22:48:02.763672
22,mongodb-1,mongodb-0,31.31,4.36,2026-04-13T22:56:47.049788
23,mongodb-0,mongodb-1,32.14,13.9,2026-04-13T22:58:44.426335
24,mongodb-1,mongodb-0,31.57,19.21,2026-04-13T23:00:46.575407
25,mongodb-0,mongodb-1,32.2,5.06,2026-04-13T23:02:35.208369
26,mongodb-1,mongodb-0,31.64,8.12,2026-04-13T23:04:26.533429
27,mongodb-0,mongodb-1,32.94,14.62,2026-04-13T23:06:25.484334
28,mongodb-1,mongodb-0,33.0,4.45,2026-04-13T23:08:14.360727
29,mongodb-0,mongodb-1,33.69,14.9,2026-04-13T23:10:14.485630
30,mongodb-1,mongodb-0,32.94,19.39,2026-04-13T23:12:18.874284
